Common Name,nid,scientific_name,category,scientific_family
Sweet Fruit Juniper,,Juniperus deppeana pachyphlaea,"fruit, California, California rare fruits, rare fruits",Cupressacae
Sweet Granadilla,10082,Passiflora ligularis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Sweet Lemon,5581,Citrus limetta,"fruit, California, California rare fruits, rare fruits",Rutaceae
Sweet Lime,,Citrus limettioides,"fruit, California, California rare fruits, rare fruits",Rutaceae
Sweet Olive,,Osmanthus fragrans,"fruit, California, California rare fruits, rare fruits",Oleaceae
Sweet Prayer,,Thaumatococcus danielli,"fruit, California, California rare fruits, rare fruits",Marantaceae
Sweet Scented Crab Apple,,Malus coronaria,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sweetberry,,Viburnum lentago,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Sweetsop,5604,Annona squamosa,"fruit, California, California rare fruits, rare fruits",Annonaceae
Swiss Cheese Plant,,Monstera deliciosa,"fruit, California, California rare fruits, rare fruits",Araceae
Szechuan Strawberry,,Cornus kousa,"fruit, California, California rare fruits, rare fruits",Cornaceae
Tagua-Tagua,,Passiflora serrato digitata,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Tahiti Apple,,Syzygium malaccense,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Tahiti Chestnut,,Inocarpus edulis,"fruit, California, California rare fruits, rare fruits",Leguminosae
Tahiti Lime,,Citrus latifolia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Tall Oregon Grape,,Mahonia aquifolium,"fruit, California, California rare fruits, rare fruits",Berberidaceae
Tallow Wood,,Ximenia americana,"fruit, California, California rare fruits, rare fruits",Olacaceae
Tamarillo,10093,Cyphomandra betacea,"fruit, California, California rare fruits, rare fruits",Solanaceae
Tamarind,678,Tamarindus indica,"fruit, California, California rare fruits, rare fruits",Leguminosae
Tamarind Plum,,Dialium indum,"fruit, California, California rare fruits, rare fruits",Leguminosae
Tampoi,,Baccaurea griffithii,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Tangelo,10096,Citrus X paradisi X reticulata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Tangerine,,Citrus reticulata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Tangor,,Citrus reticulata X sinensis,"fruit, California, California rare fruits, rare fruits",Rutaceae
Tanka Bean,,Coumarouna odorata,"fruit, California, California rare fruits, rare fruits",Leguminosae
Tapioca,,Manihot esculenta,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Tara Vine,,Actinidia arguta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Taro,,Alocasia macrorrhiza,"fruit, California, California rare fruits, rare fruits",Araceae
Taro,,Colocasia esculenta,"fruit, California, California rare fruits, rare fruits",Araceae
Taruma,,Rhamnidium elaeocarpum,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Taruma Guazu,,Vitex cymosa,"fruit, California, California rare fruits, rare fruits",Verbenaceae
Tavola,,Terminalia catappa,"fruit, California, California rare fruits, rare fruits",Combretaceae
Tayberry,10102,Rubus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Tea,10103,Camellia sinensis,"fruit, California, California rare fruits, rare fruits",Theaceae
Tejocote Hawthorn,,Crataegus pubescens,"fruit, California, California rare fruits, rare fruits",Rosaceae
Thimbleberry,10108,Rubus parvifolius,"fruit, California, California rare fruits, rare fruits",Rosaceae
Thimbleberry,10108,Rubus rosaefolius,"fruit, California, California rare fruits, rare fruits",Rosaceae
Thorn Apple,,Crataegus aestivalis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Thorn Apple,,Datura,"fruit, California, California rare fruits, rare fruits",Solanaceae
Thornless Boysenberry,5705,Rubus ursinus loganobaccus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Titoki,,Alectryon excelsus,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Tjoepa,,Baccaurea dulcis,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Toad Tree,,Conopharyngia elegans,"fruit, California, California rare fruits, rare fruits",Apocynaceae
Tomatillo,690,Physalis ixocarpa,"fruit, California, California rare fruits, rare fruits",Solanaceae
Tomato Rose,,Rosa rugosa,"fruit, California, California rare fruits, rare fruits",Rosaceae
Torrey Desert Thorn,,Lycium torreyi,"fruit, California, California rare fruits, rare fruits",Solanaceae
Tree Melon,,Carica papaya,"fruit, California, California rare fruits, rare fruits",Caricaceae
Tree Tomato,5819,Cyphomandra betacea,"fruit, California, California rare fruits, rare fruits",Solanaceae
Trifoliate Orange,5826,Poncirus trifoliata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Tropical Almond,5846,Terminalia catappa,"fruit, California, California rare fruits, rare fruits",Combretaceae
Tropical Apricot,,Dovyalis abbyssinica X hebecarpa,"fruit, California, California rare fruits, rare fruits",Flacourtaceae
Tropical Guava,,Psidium guajava,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Tropical Red Raspberry,,Rubus rosaefolius,"fruit, California, California rare fruits, rare fruits",Rosaceae
Tropical Walnut,,Juglans neotropica,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Trumpet Tree,,Cecropia peltata,"fruit, California, California rare fruits, rare fruits",Moraceae
Tuna,10128,Opuntia ficus-indica,"fruit, California, California rare fruits, rare fruits",Cactaceae
Ugli Fruit,10132,Citrus X paradisi X reticulata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Umari,,Poraquieba sericae or paraensis,"fruit, California, California rare fruits, rare fruits",Icacinaceae
Umkolo,,Dovyalis caffra,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Ume,,Prunus mume,"fruit, California, California rare fruits, rare fruits",Rosaceae
Uvalha,,Eugenia uvalha,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Vegetable Brain,,Blighia sapida,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Velvet Apple,,Diospyros discolor,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Velvet Apple,,Diospyros philippinesis,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Velvet Tamarind,,Dialium guineese,"fruit, California, California rare fruits, rare fruits",Leguminosae
Velvet Tamarind,,Dialium indum,"fruit, California, California rare fruits, rare fruits",Leguminosae
Velvet Vine,,Actinidia eriantha,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Velvetleaf Blueberry,,Vaccinium myrtilloides,"fruit, California, California rare fruits, rare fruits",Ericaceae
Vutu Kana,,Barringtonia edulis,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Wampee,6053,Clausena lansium,"fruit, California, California rare fruits, rare fruits",Rutaceae
Wampi,,Clausena lansium,"fruit, California, California rare fruits, rare fruits",Rutaceae
Water Apple,6062,Syzygium aqueum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Water Lemon,6065,Passiflora laurifolia,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Water Rose-apple,,Syzygium aqueum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Water Yam,,Dioscroea alata,"fruit, California, California rare fruits, rare fruits",Dioscoreaceae
Waterberry,,Syzygium guineense,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Wax Apple,6069,Syzygium javanicum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Wax Jambu,,Syzygium javanicum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Wax Jambu,,Syzygium samarangense,"fruit, California, California rare fruits, rare fruits",Myrtaceae
West Indian Avocado,,Persea americana,"fruit, California, California rare fruits, rare fruits",Lauraceae
West Indian Cherry,6089,Cordia nitida,"fruit, California, California rare fruits, rare fruits",Boraginaceae
Western Hackberry,,Celtis reticulata,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Western Sand Cherry,,Prunus besseyi,"fruit, California, California rare fruits, rare fruits",Rosaceae
White Apple,6103,Syzygium forte,"fruit, California, California rare fruits, rare fruits",Myrtaceae
White Beam Tree,,Sorbus aria,"fruit, California, California rare fruits, rare fruits",Rosaceae
White Mulberry,10175,Morus alba,"fruit, California, California rare fruits, rare fruits",Moraceae
White Sapote,10177,Casimiroa edulis,"fruit, California, California rare fruits, rare fruits",Rutaceae
White Sparrow,,Solanum indicum,"fruit, California, California rare fruits, rare fruits",Solanaceae
White Spinach,,Sesbania grandiflora,"fruit, California, California rare fruits, rare fruits",Leguminosae
White Walnut,,Juglans cinerea,"fruit, California, California rare fruits, rare fruits",Juglandaceae
White Yam,6168,Dioscorea alata,"fruit, California, California rare fruits, rare fruits",Dioscoreaceae
Whortleberry,6185,Vaccinium myrtillus,"fruit, California, California rare fruits, rare fruits",Ericaceae
Wild Almond,,Prunus fasciculata,"fruit, California, California rare fruits, rare fruits",Rosaceae
Wild Custard Apple,6193,Annona chrysophylla,"fruit, California, California rare fruits, rare fruits",Annonaceae
Wild Himalayan Pear,,Pyrus pashia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Wild Lime,3130,Citrus hystrix,"fruit, California, California rare fruits, rare fruits",Rutaceae
Wild Mammee,,Rheedia lateriflora,"fruit, California, California rare fruits, rare fruits",Guttiferae
Wild Olive,,Olea africana,"fruit, California, California rare fruits, rare fruits",Oleaceae
Wild Orange,6196,Prunus carolinianus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Wild Pineapple,,Bromelia pinguin,"fruit, California, California rare fruits, rare fruits",Bromeliaceae
Wild Raisin,,Viburnum lentago,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Wild Service Tree,,Sorbus torminalis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Wild Soursop,,Annona montana,"fruit, California, California rare fruits, rare fruits",Annonaceae
Wild Sweetsop,,Rollinia mucosa,"fruit, California, California rare fruits, rare fruits",Annonaceae
Wild Water Lemon,,Passiflora foetida,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Willow Leaf Pear,,Pyrus salicifolia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Wine Palm,6213,Borassus flabellifer,"fruit, California, California rare fruits, rare fruits",Palmae
Winged Bean,725,Psophocarpus tetragonolobus,"fruit, California, California rare fruits, rare fruits",Leguminosae
Wonderberry,,Solanum burbankii,"fruit, California, California rare fruits, rare fruits",Solanaceae
Wood Apple,6241,Feronia limonia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Wooly-Leaved Sapote,6249,Casimiroa tetrameria,"fruit, California, California rare fruits, rare fruits",Rutaceae
Yam Bean,727,Pachyrhizus erosus,"fruit, California, California rare fruits, rare fruits",Leguminosae
Yanagi-ichigo,,Debregeasia edulis,"fruit, California, California rare fruits, rare fruits",Urticaceae
Yang-yang,,Cananga odorata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Yard-Long Bean,,Vigna sesquipedalis,"fruit, California, California rare fruits, rare fruits",Leguminosae
Yeheb Nut,,Cordeuxia edulis,"fruit, California, California rare fruits, rare fruits",Leguminosae
Yellow Genip,,Talisia oliviformis,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Yellow Granadilla,,Passiflora edulis var. flavicarpa,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Yellow Guava,,Psidium guajava,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Yellow Horn,,Xanthoceras sorbifolium,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Yellow Jaboticaba,,Myrciaria glomerata,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Yellow Mombin,,Spondias mombin,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Yellow Passion Fruit,6297,Passiflora edulis var. flavicarpa,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Yellow Sapote,,Casimiroa tetrameria,"fruit, California, California rare fruits, rare fruits",Rutaceae
Yellow Sapote,,Pouteria campechiana,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Yellow Strawberry Guava,,Psidium cattleianum lucidum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Yellow Tree Tomato,,Cyphomandra betacea var. flavus,"fruit, California, California rare fruits, rare fruits",Solanaceae
Yellowberry,,Rubus chamaemorus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Yiessas,,Pouteria campechiana,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Ylang-ylang,,Cananga odorata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Yucca,,Manihot dulcis,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Yunnan Hackberry,,Celtis sinensis,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Zambo,,Cucurbita ficifolia,"fruit, California, California rare fruits, rare fruits",Cucurbitaceae
Zapote Blanco,,Casimiroa edulis,"fruit, California, California rare fruits, rare fruits",Rutaceae
Zapote Colorado,,Pouteria sapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Zombi Apple,,Solanum mammosum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Zubrovka,,Hierochloe odorata,"fruit, California, California rare fruits, rare fruits",Graminae
Zulu Nut,,Cyperus esculentus,"fruit, California, California rare fruits, rare fruits",Cyperaceae
