Common Name,nid,scientific_name,category,scientific_family
Chinese Pear,,Pyrus pyrifolia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Chinese Raisin Tree,,Hovenia dulcis,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Chinese Taro,,Alocasia cucullata,"fruit, California, California rare fruits, rare fruits",Araceae
Chinese White Pear,,Pyrus bretschneideri,"fruit, California, California rare fruits, rare fruits",Rosaceae
Chinese White Pear,,Pyrus usseriensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Chinquapin,,Castanea pumila,"fruit, California, California rare fruits, rare fruits",Fagaceae
Chitra,,Berberis aristata,"fruit, California, California rare fruits, rare fruits",Berberidaceae
Chocolate Pudding Fruit,,Diospyros digyna,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Chokecherry,9470,Prunus virginiana,"fruit, California, California rare fruits, rare fruits",Rosaceae
Chupa-Chupa,7277,Quararibea cordata,"fruit, California, California rare fruits, rare fruits",Bombacaceae
Ciku,,Manilkara zapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Cimarrona,,Annona montana,"fruit, California, California rare fruits, rare fruits",Annonaceae
Cinnamon,,Cinnamomum loureirii,"fruit, California, California rare fruits, rare fruits",Lauraceae
Cinnamon,,Cinnamomum zeylanicum,"fruit, California, California rare fruits, rare fruits",Lauraceae
Ciruela,,Spondias purperea,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Ciruela Verde,,Bunchosia argentea,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Ciruelo,,Bunchosia argentea,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Ciruelo,,Crytocarpa edulis,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Citron,,Citrus medica,"fruit, California, California rare fruits, rare fruits",Rutaceae
Clove,,Syzygium aromaticum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Clove Currant,,Ribes aureum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Clove Currant,,Ribes odoratum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Cochin-goraka,,Garcina xanthochymus,"fruit, California, California rare fruits, rare fruits",Guttiferae
Cocoa,,Theobroma cacao,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Cocona,7327,Solanum sessiliflorum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Coconut Palm,,Cocos nucifera,"fruit, California, California rare fruits, rare fruits",Palmae
Cocoplum,7332,Chrysobalanus icaco,"fruit, California, California rare fruits, rare fruits",Chrysobalanaceae
Coffee Berry,,Rhamnus californica,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Columbian Walnut,,Juglans colombensis,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Cometure,,Mouriris guianesis,"fruit, California, California rare fruits, rare fruits",Mouririaceae
